District.Name,Month,NewCasesStudents,NewCasesTeachers,NewCasesStaff,num.report.school,AccuCasesStudents,AccuCasesTeachers,AccuCasesStaff,NCESDistrictID,pop.5.17,Norm.New.Stud,share_inperson,share_hybrid,share_virtual
CLINTON CSD,2021-04-01,3,0,0,2,61,13,6,3607770,1410,2.127659574468085,0,1,0
CLINTON CSD,2021-05-01,2,0,0,1,63,13,6,3607770,1410,1.4184397163120568,0,1,0
CLINTON CSD,2021-06-01,1,0,0,1,64,13,6,3607770,1410,0.7092198581560284,0,1,0
CLINTON-ESSEX-WARREN-WASHING BOCES,2020-10-01,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA
CLINTON-ESSEX-WARREN-WASHING BOCES,2020-12-01,4,0,1,2,5,0,1,NA,NA,NA,NA,NA,NA
CLINTON-ESSEX-WARREN-WASHING BOCES,2021-01-01,14,1,9,2,19,1,10,NA,NA,NA,NA,NA,NA
CLINTON-ESSEX-WARREN-WASHING BOCES,2021-02-01,6,1,2,2,25,2,12,NA,NA,NA,NA,NA,NA
CLINTON-ESSEX-WARREN-WASHING BOCES,2021-03-01,4,0,2,1,29,2,14,NA,NA,NA,NA,NA,NA
CLINTON-ESSEX-WARREN-WASHING BOCES,2021-04-01,1,0,0,1,30,2,14,NA,NA,NA,NA,NA,NA
CLINTON-ESSEX-WARREN-WASHING BOCES,2021-05-01,5,1,0,2,35,3,14,NA,NA,NA,NA,NA,NA
CLYDE-SAVANNAH CSD,2020-09-01,0,0,1,1,0,0,1,3607860,857,0,0.11799559,0.498025,0.38397941
CLYDE-SAVANNAH CSD,2020-11-01,3,1,2,3,3,1,3,3607860,857,3.500583430571762,0,1,0
CLYDE-SAVANNAH CSD,2020-12-01,1,1,1,2,4,2,4,3607860,857,1.1668611435239205,0,1,0
CLYDE-SAVANNAH CSD,2021-01-01,8,1,2,3,12,3,6,3607860,857,9.334889148191364,0,0.77388644,0.22611357
CLYDE-SAVANNAH CSD,2021-03-01,2,0,0,1,14,3,6,3607860,857,2.333722287047841,0,1,0
CLYDE-SAVANNAH CSD,2021-04-01,4,0,0,2,18,3,6,3607860,857,4.667444574095682,0.20925438,0.79074562,0
