"entity_cd","year","pupil_count_tot","per_federal_exp","per_state_local_exp","per_fed_state_local_exp","num_princ","num_teach","num_counselors","num_social","per_turn_all","per_turn_five_yrs","per_free_lunch","per_reduced_lunch","ELA_per_prof.18","math_per_prof.18","entity_name","student_teacher_ratio"
" 30701060000",2021,1614,840,18012,18852,4,120,7,4,11,30,37,3,87,90,"CHENANGO VALLEY CSD",13.45
" 31101060000",2021,2455,470,15569,16039,4,167,7,3,11,21,34,3,88,91,"MAINE-ENDWELL CSD",14.7005988023952
" 31301040000",2021,469,1190,27846,29036,3,51,2,2,4,11,51,2,88,91,"DEPOSIT CSD",9.19607843137255
" 31401060000",2021,1408,1156,18488,19644,2,133,5,3,13,7,48,5,83,89,"WHITNEY POINT CSD",10.5864661654135
" 31501060000",2021,3464,1345,18352,19697,7,299,8,8,5,6,48,3,82,83,"UNION-ENDICOTT CSD",11.5852842809365
" 31502060000",2021,2196,1045,18114,19159,3,191,5,6,7,6,59,3,84,89,"JOHNSON CITY CSD",11.4973821989529
" 31601060000",2021,3195,444,18612,19057,6,285,12,2,11,32,25,3,92,93,"VESTAL CSD",11.2105263157895
" 31701060000",2021,1589,575,19468,20043,5,140,8,0,8,8,42,6,94,96,"WINDSOR CSD",11.35
" 40204040000",2021,198,1580,35423,37004,1,31,1,0,16,0,37,0,93,86,"WEST VALLEY CSD",6.38709677419355
" 40302060000",2021,1066,572,17045,17617,3,98,5,0,8,18,37,2,94,96,"ALLEGANY-LIMESTONE CSD",10.8775510204082
" 40901040000",2021,608,571,17019,17590,2,51,2,0,6,0,29,4,95,92,"ELLICOTTVILLE CSD",11.921568627451
" 41101040000",2021,605,1696,24999,26695,2,69,3,0,4,0,44,2,91,98,"FRANKLINVILLE CSD",8.76811594202899
" 41401040000",2021,380,849,21278,22127,1,37,2,1,12,20,52,3,92,92,"HINSDALE CSD",10.2702702702703
" 42302040000",2021,868,1091,19418,20509,3,86,4,0,11,19,48,3,96,94,"CATTARAUGUS-LITTLE VALLEY CSD",10.093023255814
" 42400010000",2021,1929,1731,17809,19540,5,170,10,0,5,28,53,0,81,84,"OLEAN CITY SD",11.3470588235294
" 42801060000",2021,1004,1231,23459,24690,3,118,5,4,10,27,49,7,82,89,"GOWANDA CSD",8.50847457627119
" 42901040000",2021,968,626,14795,15421,2,67,3,0,11,11,34,6,89,90,"PORTVILLE CSD",14.4477611940299
" 43001040000",2021,874,1112,17255,18367,2,75,3,0,9,33,42,6,90,93,"RANDOLPH CSD",11.6533333333333
" 43200050000",2021,1282,1333,23631,24964,3,139,5,5,4,7,56,2,67,68,"SALAMANCA CITY SD",9.22302158273381
" 43501060000",2021,2238,1138,17545,18684,4,217,6,2,6,21,44,7,88,93,"YORKSHIRE-PIONEER CSD",10.3133640552995
" 50100010000",2021,3956,1093,15547,16640,7,326,8,6,9,14,54,1,71,76,"AUBURN CITY SD",12.1349693251534
" 50301040000",2021,747,798,19868,20666,2,67,3,0,13,36,28,2,90,95,"WEEDSPORT CSD",11.1492537313433
" 50401040000",2021,887,890,16479,17369,2,72,3,0,19,27,40,4,91,86,"CATO-MERIDIAN CSD",12.3194444444444
" 50701040000",2021,659,1850,18922,20773,2,60,3,0,7,7,43,3,79,81,"SOUTHERN CAYUGA CSD",10.9833333333333
