"id_name","NewCasesStudents","NewCasesTeachers","NewCasesStaff","Norm.New.Stud","share_inperson","share_hybrid","share_virtual","year","pupil_count_tot","per_federal_exp","per_state_local_exp","per_fed_state_local_exp","num_princ","num_teach","num_counselors","num_social","per_turn_all","per_turn_five_yrs","per_free_lunch","per_reduced_lunch","ELA_per_prof.18","math_per_prof.18","entity_name","student_teacher_ratio","district_name","report_school_year","Princ_Sal","Teacher_Sal"
31401060000,72,12,10,53.7313432835821,0.360847261,0.58301092,0.0561418164,2021,1408,1156,18488,19644,2,133,5,3,13,7,48,5,83,89,"WHITNEY POINT CSD",10.5864661654135,"WHITNEY POINT CSD","2020-21",102731.75,63286.78571
31501060000,182,30,25,42.9650613786591,0.151613253,0.77672201,0.0716647428,2021,3464,1345,18352,19697,7,299,8,8,5,6,48,3,82,83,"UNION-ENDICOTT CSD",11.5852842809365,"UNION-ENDICOTT CSD","2020-21",93849.92308,64177.01003
31502060000,107,25,16,42.8171268507403,0,0.888559427777778,0.111440567555556,2021,2196,1045,18114,19159,3,191,5,6,7,6,59,3,84,89,"JOHNSON CITY CSD",11.4973821989529,"JOHNSON CITY CSD","2020-21",100452.2222,60568.93194
31601060000,156,25,37,42.4720936564117,0,1,0,2021,3195,444,18612,19057,6,285,12,2,11,32,25,3,92,93,"VESTAL CSD",11.2105263157895,"VESTAL CSD","2020-21",105482.4,67869.44803
31701060000,64,13,12,36.3636363636364,0.3314361125,0.65981613875,0.008747735,2021,1589,575,19468,20043,5,140,8,0,8,8,42,6,94,96,"WINDSOR CSD",11.35,"WINDSOR CSD","2020-21",105866.4286,68695.73571
3.9e+10,70,27,59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BROOME-DELAWARE-TIOGA BOCES","2020-21",91447.58824,60855.27273
40204040000,9,0,1,26.4705882352941,0.832830668,0.04347826,0.123691068,2021,198,1580,35423,37004,1,31,1,0,16,0,37,0,93,86,"WEST VALLEY CSD",6.38709677419355,"WEST VALLEY CSD","2020-21",94575,59875.55172
40302060000,25,7,8,20.8855472013367,0.381039755714286,0.449764858571429,0.169195404428571,2021,1066,572,17045,17617,3,98,5,0,8,18,37,2,94,96,"ALLEGANY-LIMESTONE CSD",10.8775510204082,"ALLEGANY-LIMESTONE CSD","2020-21",101185.25,58948.7449
40901040000,25,9,5,50.4032258064516,0.498373408571429,0.501626595714286,0,2021,608,571,17019,17590,2,51,2,0,6,0,29,4,95,92,"ELLICOTTVILLE CSD",11.921568627451,"ELLICOTTVILLE CSD","2020-21",98846.5,68782.05882
41101040000,25,11,14,34.8675034867503,0.237961948571429,0.762038047142857,0,2021,605,1696,24999,26695,2,69,3,0,4,0,44,2,91,98,"FRANKLINVILLE CSD",8.76811594202899,"FRANKLINVILLE CSD","2020-21",94245,65214.95652
41401040000,18,3,1,39.9113082039911,0,1,0,2021,380,849,21278,22127,1,37,2,1,12,20,52,3,92,92,"HINSDALE CSD",10.2702702702703,"HINSDALE CSD","2020-21",113912,60693.37838
42302040000,35,6,10,0,0,1,0,2021,868,1091,19418,20509,3,86,4,0,11,19,48,3,96,94,"CATTARAUGUS-LITTLE VALLEY CSD",10.093023255814,"CATTARAUGUS-LITTLE VALLEY CSD","2020-21",92769.66667,57029.66279
42400010000,29,12,16,12.7697049757816,0,0.675395712714286,0.324604292857143,2021,1929,1731,17809,19540,5,170,10,0,5,28,53,0,81,84,"OLEAN CITY SD",11.3470588235294,"OLEAN CITY SD","2020-21",117193.6667,63913.69412
42801060000,45,18,12,31.7348377997179,0,0.816219845,0.18378015925,2021,1004,1231,23459,24690,3,118,5,4,10,27,49,7,82,89,"GOWANDA CSD",8.50847457627119,"GOWANDA CSD","2020-21",103961.5,70509.65254
42901040000,76,12,10,95.2380952380952,1,0,0,2021,968,626,14795,15421,2,67,3,0,11,11,34,6,89,90,"PORTVILLE CSD",14.4477611940299,"PORTVILLE CSD","2020-21",126420.5,62873.22388
43001040000,22,6,4,16.4670658682635,0,0.971351317142857,0.0286486828571429,2021,874,1112,17255,18367,2,75,3,0,9,33,42,6,90,93,"RANDOLPH CSD",11.6533333333333,"RANDOLPH CSD","2020-21",102731,64735.94667
43011020000,6,3,8,0,0.932405004285714,0,0.0675949962857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RANDOLPH ACAD UFSD","2020-21",115647,52607.67742
43200050000,6,1,8,5.0251256281407,0,0.602449215,0.39755077375,2021,1282,1333,23631,24964,3,139,5,5,4,7,56,2,67,68,"SALAMANCA CITY SD",9.22302158273381,"SALAMANCA CITY SD","2020-21",97120,65403.02158
43501060000,99,18,13,41.1985018726592,0,0.9459158775,0.05408412225,2021,2238,1138,17545,18684,4,217,6,2,6,21,44,7,88,93,"YORKSHIRE-PIONEER CSD",10.3133640552995,"YORKSHIRE-PIONEER CSD","2020-21",99070.14286,69530.05991
4.9e+10,66,2,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CATTAR-ALLEGANY-ERIE-WYOMING BOCES","2020-21",109752,57637.27907
50100010000,248,45,25,58.8933744953693,0,0.992529835555556,0.00747016488888889,2021,3956,1093,15547,16640,7,326,8,6,9,14,54,1,71,76,"AUBURN CITY SD",12.1349693251534,"AUBURN CITY SD","2020-21",99622.66667,68456.25309
50301040000,49,1,1,62.1827411167513,0.17930684625,0.8206931575,0,2021,747,798,19868,20666,2,67,3,0,13,36,28,2,90,95,"WEEDSPORT CSD",11.1492537313433,"WEEDSPORT CSD","2020-21",110202,73048.29851
50401040000,32,2,5,35.3982300884956,0,1,0,2021,887,890,16479,17369,2,72,3,0,19,27,40,4,91,86,"CATO-MERIDIAN CSD",12.3194444444444,"CATO-MERIDIAN CSD","2020-21",93563.5,66792.48611
50701040000,37,4,2,44.311377245509,0.098007405,0.81426781875,0.08772476875,2021,659,1850,18922,20773,2,60,3,0,7,7,43,3,79,81,"SOUTHERN CAYUGA CSD",10.9833333333333,"SOUTHERN CAYUGA CSD","2020-21",102107.3333,63687.85
